Name,Description,List,Labels,Points,Sprint Day,Type
Product Goal,"Build a secure, cloud-deployed leadership portal for a new safehouse nonprofit that helps staff manage resident care, helps administrators track operations and donations, and helps donors understand anonymized impact through reporting, analytics, and machine learning insights.",Goals,Product Goal,0,All,Goal
Monday Sprint Goal,"Understand the problem, users, and data well enough to create a complete backlog, clear priorities, and a realistic build plan for the week.",Goals,Monday,0,Monday,Goal
Tuesday Sprint Goal,"Choose the final design direction and build the public-facing, authentication, and security foundations of the application.",Goals,Tuesday,0,Tuesday,Goal
Wednesday Sprint Goal,"Deliver and deploy a working end-to-end slice of the application with real database persistence and core portal functionality.",Goals,Wednesday,0,Wednesday,Goal
Thursday Sprint Goal,"Complete advanced case-management, analytics, ML, security, accessibility, and responsiveness work so the project is ready for final demo and submission.",Goals,Thursday,0,Thursday,Goal
PB1 - Define Team Roles and Working Agreement,"Assign the Scrum Master and Product Owner, agree on team norms, decide branch workflow expectations, and clarify who owns each major workstream.",Product Backlog,Monday,1,Monday,Backlog
PB2 - Create Personas and Journey Map,"Build two realistic primary personas, document their goals and pain points, and map their journey so design and feature decisions stay tied to user needs.",Product Backlog,Monday,3,Monday,Backlog
PB3 - Write Problem Statement and Product Goal,"Define the core customer problem, the desired business outcome, and the product goal that will guide backlog prioritization.",Product Backlog,Monday,1,Monday,Backlog
PB4 - Build MoSCoW Prioritization,"Convert requirements into Must, Should, Could, and Won't categories, add team-generated nice-to-have ideas, and document one feature intentionally not built.",Product Backlog,Monday,2,Monday,Backlog
PB5 - Set Up Product Backlog and Sprint Boards,"Create the master backlog in Trello, estimate work, assign ownership, and split work into Monday, Tuesday, Wednesday, and Thursday sprint backlogs.",Product Backlog,Monday,3,Monday,Backlog
PB6 - Create Burndown Chart and Daily Tracking,"Set up a burndown chart and update it throughout the week so the team can monitor progress and adjust priorities.",Product Backlog,Monday,2,Monday,Backlog
PB7 - Produce Key Wireframes,"Design wireframes for the three most important screens in desktop view to establish the layout and feature priorities before implementation.",Product Backlog,Monday,3,Monday,Backlog
PB8 - Explore and Choose UI Direction,"Generate multiple AI-assisted UI concepts, evaluate them, document feedback, choose a final direction, and record the changes made from the original concepts.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB9 - Define Branding and Product Naming Direction,"Choose or defer the organization name, align visual tone and messaging, and ensure placeholder branding stays consistent until final branding is selected.",Product Backlog,Monday,1,Monday,Backlog
PB10 - Profile the Raw CSV Dataset,"Inspect the 17 source CSV files, understand table relationships, identify missing values and inconsistencies, and document which fields and tables will actually be used.",Product Backlog,Monday,3,Monday,Backlog
PB11 - Design the Relational Database Model,"Decide how the provided CSV structure maps into the app database, including keys, relationships, normalization choices, and any additional fields or tables needed.",Product Backlog,Monday,3,Monday,Backlog
PB12 - Build Data Import and Seeding Strategy,"Create the approach for loading raw data into the database, including seed and demo data, environment-specific setup, and a repeatable process for local and deployed environments.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB13 - Implement Data Pipeline for Source Data Preparation,"Clean, transform, and prepare the operational, donor, and outreach data so it can support the application and ML workflows reliably.",Product Backlog,Tuesday,5,Tuesday,Backlog
PB14 - Build Backend Project Configuration,"Configure the ASP.NET Core API, database connection, environment variables, dependency setup, and application startup behavior.",Product Backlog,Tuesday,2,Tuesday,Backlog
PB15 - Implement Authentication and Password Policy,"Configure ASP.NET Identity login with the class-required password policy, lockout behavior, JWT token handling, and secure authentication flow.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB16 - Implement Role-Based Access Control,"Enforce authorization so Admin can create, update, and delete data, Employee has restricted access, and Donor only sees donor-appropriate data.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB17 - Build User and Seed Account Setup,"Create seeded Admin, Employee, and Donor accounts for testing and grading, and make sure roles are correctly assigned and demonstrated.",Product Backlog,Tuesday,2,Tuesday,Backlog
PB18 - Build Public Landing Page,"Create a polished public homepage that introduces the mission, builds trust, and gives users clear next steps such as viewing impact or signing in.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB19 - Build Public Impact Dashboard,"Create a public-facing dashboard showing anonymized, aggregated impact data in a clear, donor-friendly format.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB20 - Build Login Experience,"Implement the login page with validation, helpful error handling, session behavior, and appropriate redirects for authenticated users.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB21 - Build Privacy Policy and Cookie Consent,"Publish a privacy policy tailored to the project and implement a functional cookie consent experience consistent with course expectations.",Product Backlog,Tuesday,2,Tuesday,Backlog
PB22 - Build Shared Frontend Layout and Navigation,"Create consistent layout components, navigation, footer, protected route handling, and app-wide styling so the experience feels unified.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB23 - Build Admin Dashboard,"Create a command-center dashboard for staff and admins showing high-level operational metrics such as active residents, donation activity, and upcoming case work.",Product Backlog,Wednesday,3,Wednesday,Backlog
PB24 - Build Donor and Supporter CRM,"Allow staff to search, view, create, edit, and manage supporter records across donor and supporter types, including active and inactive status.",Product Backlog,Wednesday,5,Wednesday,Backlog
PB25 - Build Contribution Tracking,"Support recording and reviewing monetary, in-kind, time, skill-based, and advocacy contributions tied to supporters.",Product Backlog,Wednesday,5,Wednesday,Backlog
PB26 - Build Donation Allocation Tracking,"Show how donations are allocated across safehouses and program areas so leadership can connect giving to operational outcomes.",Product Backlog,Wednesday,3,Wednesday,Backlog
PB27 - Build Donor Portal,"Provide donors with access to their own giving history and an anonymized summary of the impact their support contributes to.",Product Backlog,Wednesday,3,Wednesday,Backlog
PB28 - Build Resident Intake and Profile Management,"Implement resident records with demographic, case, family, referral, admission, and reintegration fields aligned to the case requirements.",Product Backlog,Wednesday,5,Wednesday,Backlog
PB29 - Build Searchable Caseload Inventory,"Provide staff with filtering and searching tools for residents based on status, safehouse, case category, risk, and social worker assignment.",Product Backlog,Wednesday,5,Wednesday,Backlog
PB30 - Build Process Recording Module,"Implement chronological counseling session entry and review, including emotional states, interventions, narrative summaries, and follow-up actions.",Product Backlog,Thursday,5,Thursday,Backlog
PB31 - Build Home Visitation Module,"Support entry and review of home visit details such as visit type, observations, family cooperation, safety concerns, and follow-up needs.",Product Backlog,Thursday,5,Thursday,Backlog
PB32 - Build Case Conference Tracking,"Record case conference history, upcoming conferences, and decisions related to resident planning and progress.",Product Backlog,Thursday,3,Thursday,Backlog
PB33 - Build Reports and Analytics,"Create aggregated operational reports for donations, resident outcomes, safehouse comparisons, service delivery, and reintegration trends.",Product Backlog,Thursday,5,Thursday,Backlog
PB34 - Add OKR Metric to the App,"Select one meaningful success metric, display it in the application, and explain why it best represents value for the organization.",Product Backlog,Thursday,2,Thursday,Backlog
PB35 - Build Social Media Analytics,"Analyze social media post performance, engagement, donation referrals, and campaign effectiveness to support smarter outreach decisions.",Product Backlog,Thursday,4,Thursday,Backlog
PB36 - Build ML Notebook Pipelines,"Create the required Jupyter notebooks for donor, resident, outreach, and forecasting insights using the provided and derived data.",Product Backlog,Thursday,5,Thursday,Backlog
PB37 - Export ML Predictions for App Use,"Generate prediction outputs from the notebooks in a consistent format that can be imported into the application.",Product Backlog,Thursday,3,Thursday,Backlog
PB38 - Build ML Import and API Support,"Create or finalize backend support for importing ML outputs, storing predictions, and exposing them through secure API endpoints.",Product Backlog,Thursday,3,Thursday,Backlog
PB39 - Build ML Insights and Action Center Pages,"Display ML results in the app so staff can review prediction types, risks, and suggested next actions in a usable format.",Product Backlog,Thursday,3,Thursday,Backlog
PB40 - Implement Input Validation and Error Handling,"Validate user input on the frontend and backend and ensure the app fails gracefully with helpful, safe error messages.",Product Backlog,Wednesday,3,Wednesday,Backlog
PB41 - Implement Delete Confirmation and Data Integrity Safeguards,"Require confirmation before deletions, protect restricted operations, and ensure that changes to sensitive data only happen through authorized workflows.",Product Backlog,Wednesday,2,Wednesday,Backlog
PB42 - Implement Secrets and Credential Safety,"Keep secrets out of source control, configure environment variables correctly, and document safe credential handling practices for the team.",Product Backlog,Thursday,2,Thursday,Backlog
PB43 - Verify HTTPS and HTTP-to-HTTPS Security,"Ensure deployed services use TLS correctly and redirect insecure traffic to HTTPS as required by the grading rubric.",Product Backlog,Thursday,2,Thursday,Backlog
PB44 - Improve Accessibility Across All Pages,"Fix semantics, labels, contrast, keyboard access, and screen-reader usability so every page can reach the required Lighthouse accessibility score.",Product Backlog,Thursday,3,Thursday,Backlog
PB45 - Improve Mobile Responsiveness Across All Pages,"Make every page resize and function well across desktop and mobile layouts, including forms, tables, navigation, and dashboards.",Product Backlog,Thursday,3,Thursday,Backlog
PB46 - Test Core User Flows End-to-End,"Verify that public users, admins, employees, and donors can complete their key tasks successfully in the deployed environment.",Product Backlog,Thursday,3,Thursday,Backlog
"PB47 - Deploy Database, API, and Frontend","Deploy the relational database, ASP.NET backend, and React frontend to the cloud and confirm that environment variables and connectivity work correctly.",Product Backlog,Wednesday,5,Wednesday,Backlog
"PB48 - Prepare Screenshots, Evidence, and Video Proof","Collect screenshots, security evidence, page demos, deployment proof, and other artifacts needed to clearly show completion in the grading videos.",Product Backlog,Thursday,3,Thursday,Backlog
PB49 - Gather User Feedback and Iterate,"Show the current product to a real user, record at least five actionable pieces of feedback, and make targeted improvements based on what is learned.",Product Backlog,Wednesday,2,Wednesday,Backlog
PB50 - Complete Final Retrospective and Submission Prep,"Finish the retrospective, summarize team contributions, confirm deliverables are complete, and prepare the repo, links, and presentation materials for submission.",Product Backlog,Thursday,2,Thursday,Backlog
PB51 - Create Tech Stack Diagram,"Build the required frontend, backend, and database architecture diagram with the chosen technology logos for the Tuesday deliverable.",Product Backlog,Tuesday,1,Tuesday,Backlog
PB52 - Capture UI Exploration Evidence,"Save three screenshots of each of three UI design options, record five AI feedback questions for each, summarize the takeaways, and document the chosen direction.",Product Backlog,Tuesday,3,Tuesday,Backlog
PB53 - Capture Sprint and Page Screenshot Evidence,"Collect sprint backlog screenshots for each day and current-state screenshots of at least five pages in both desktop and mobile views.",Product Backlog,Thursday,2,Thursday,Backlog
PB54 - Prepare Security and Feature Video Checklist,"Create a checklist so the final video clearly demonstrates HTTPS, redirects, auth, RBAC, delete confirmation, privacy and cookie behavior, deployed pages, and ML integration.",Product Backlog,Thursday,2,Thursday,Backlog
PB55 - Deliver One Working Deployed Page,"Ensure at least one page is fully deployed to the cloud and persists real data to the database for the Wednesday milestone.",Product Backlog,Wednesday,3,Wednesday,Backlog
